"Date","Price (Close)"
"2019-02-26","3801.6035334206977"
"2019-02-25","3823.7943392758316"
"2019-02-24","3748.7418026628334"
"2019-02-23","4120.282111745227"
"2019-02-22","3952.1658313475727"
"2019-02-21","3912.548284449266"
"2019-02-20","3949.994302772638"
"2019-02-19","3895.16503516657"
"2019-02-18","3886.9469637466004"
"2019-02-17","3642.1887715719704"
"2019-02-16","3591.905371013553"
"2019-02-15","3575.405830797453"
"2019-02-14","3568.383704994841"
"2019-02-13","3583.5723820965923"
"2019-02-12","3601.3725738908424"
"2019-02-11","3596.9563813623104"
"2019-02-10","3661.0762378626023"
"2019-02-09","3631.5584971905964"
"2019-02-08","3640.6287073176554"
"2019-02-07","3364.8197436396285"
"2019-02-06","3376.9804040533377"
"2019-02-05","3435.6172479364805"
"2019-02-04","3417.278913921153"
"2019-02-03","3423.307541168598"
"2019-02-02","3483.93308596372"
"2019-02-01","3444.344022377771"
"2019-01-31","3421.380641949495"
"2019-01-30","3448.2442453889416"
"2019-01-29","3403.2182575885977"
"2019-01-28","3440.1053233090943"
"2019-01-27","3542.3034972049772"
"2019-01-26","3566.012392032563"
"2019-01-25","3566.822591069449"
"2019-01-24","3580.4940805104347"
"2019-01-23","3563.3542391414317"
"2019-01-22","3586.5290810146716"
"2019-01-21","3539.5178615331733"
"2019-01-20","3547.9558208231324"
"2019-01-19","3693.8303603200484"
"2019-01-18","3613.843223153125"
"2019-01-17","3644.4292401976422"
"2019-01-16","3614.7998470383127"
"2019-01-15","3585.8467988455686"
"2019-01-14","3670.74873268123"
"2019-01-13","3518.8463077533916"
"2019-01-12","3628.350605251655"
"2019-01-11","3640.9895313522798"
"2019-01-10","3637.421696874916"
"2019-01-09","4012.1407292429058"
"2019-01-08","4001.413809199252"
"2019-01-07","4012.698617890597"
"2019-01-06","4060.4519965593176"
"2019-01-05","3816.9523316774184"
"2019-01-04","3837.9140877342784"
"2019-01-03","3811.2261571355175"
"2019-01-02","3911.9176243541206"
"2019-01-01","3840.394307781661"
"2018-12-31","3711.668623134342"
"2018-12-30","3854.3260426255774"
"2018-12-29","3753.676807220535"
"2018-12-28","3908.0035841657836"
"2018-12-27","3606.9640589988085"
"2018-12-26","3825.3125296662056"
"2018-12-25","3802.6652500150085"
"2018-12-24","4045.847791718875"
"2018-12-23","3963.870828806001"
"2018-12-22","4000.2812369620824"
"2018-12-21","3859.9028011272194"
"2018-12-20","4102.827517804302"
"2018-12-19","3702.012510792308"
"2018-12-18","3680.5814186562175"
"2018-12-17","3514.2044125726443"
"2018-12-16","3216.424543710994"
"2018-12-15","3197.6806790800238"
"2018-12-14","3206.824903516609"
"2018-12-13","3274.6723774284455"
"2018-12-12","3448.199382408621"
"2018-12-11","3363.6833775873283"
"2018-12-10","3424.629303385674"
"2018-12-09","3543.2596209238113"
"2018-12-08","3418.2033755089747"
"2018-12-07","3397.2681534051117"
"2018-12-06","3455.8800091936973"
"2018-12-05","3705.569033728982"
"2018-12-04","3917.10118688926"
"2018-12-03","3845.08145590057"
"2018-12-02","4103.959462763973"
"2018-12-01","4152.855415395558"
"2018-11-30","3988.0575319894233"
"2018-11-29","4257.842466335637"
"2018-11-28","4232.601496794103"
"2018-11-27","3784.27057550168"
"2018-11-26","3749.5137253107796"
